"customer_id","customer_name","segment"
JC-15775,John Castell,Consumer
EB-13840,Ellis Ballard,Corporate
TS-21340,Toby Swindell,Consumer
CK-12205,Chloris Kastensmidt,Consumer
BP-11230,Benjamin Patterson,Consumer
LM-17065,Liz MacKendrick,Consumer
RD-19930,Russell D'Ascenzo,Consumer
MD-17350,Maribeth Dona,Consumer
AC-10450,Amy Cox,Consumer
KL-16645,Ken Lonsdale,Consumer
NR-18550,Nick Radford,Consumer
RP-19390,Resi Pölking,Consumer
JR-16210,Justin Ritter,Corporate
DB-13660,Duane Benoit,Consumer
CH-12070,Cathy Hwang,Home Office
NP-18325,Naresj Patel,Consumer
GM-14455,Gary Mitchum,Home Office
DW-13480,Dianna Wilson,Home Office
KD-16495,Keith Dawkins,Corporate
JF-15415,Jennifer Ferguson,Consumer
BF-11080,Bart Folk,Consumer
EM-14140,Eugene Moren,Home Office
MS-17530,MaryBeth Skach,Consumer
DM-13015,Darrin Martin,Consumer
HW-14935,Helen Wasserman,Corporate
LB-16735,Larry Blacks,Consumer
CL-12700,Craig Leslie,Home Office
TD-20995,Tamara Dahlen,Consumer
AC-10420,Alyssa Crouse,Corporate
RE-19405,Ricardo Emerson,Consumer
BC-11125,Becky Castell,Home Office
JE-15715,Joe Elijah,Consumer
CS-11845,Cari Sayre,Corporate
AT-10435,Alyssa Tate,Home Office
NM-18445,Nathan Mautz,Home Office
GM-14695,Greg Maxwell,Corporate
SC-20230,Scot Coram,Corporate
MG-18205,Mitch Gastineau,Corporate
SC-20380,Shahid Collister,Consumer
BF-11170,Ben Ferrer,Home Office
NZ-18565,Nick Zandusky,Home Office
RD-19480,Rick Duston,Consumer
FH-14350,Fred Harton,Consumer
TR-21325,Toby Ritter,Consumer
SG-20080,Sandra Glassco,Consumer
BP-11290,Beth Paige,Consumer
LC-16930,Linda Cazamias,Corporate
JL-15505,Jeremy Lonsdale,Consumer
IM-15070,Irene Maddox,Consumer
CM-11935,Carlos Meador,Consumer
JC-16105,Julie Creighton,Corporate
MS-17980,Michael Stewart,Corporate
BE-11335,Bill Eplett,Home Office
RA-19915,Russell Applegate,Consumer
RM-19375,Raymond Messe,Consumer
JL-15175,James Lanier,Home Office
